1130826.00,1504.00,Buy at , 162.95
1130826.00,1519.00,Buy at , 161.14
1130826.00,1519.00,Bought at , 161.14
1130826.00,1519.00,Sold, NetProfit, 715.00
1130827.00, 938.00,Buy at , 161.65
1130827.00, 942.00,Buy at , 164.67
1130827.00, 942.00,Bought at , 164.67
1130827.00, 942.00,Sold, NetProfit, 666.00
1130827.00, 951.00,Buy at , 165.08
1130827.00, 951.00,Bought at , 165.08
1130827.00, 952.00,Sold, NetProfit, 739.00
1130827.00,1042.00,Buy at , 167.21
1130827.00,1042.00,Bought at , 167.21
1130827.00,1045.00,Sold, NetProfit, 812.00
1130827.00,1046.00,Buy at , 166.88
1130827.00,1048.00,Buy at , 166.40
1130827.00,1048.00,Buy at , 166.41
1130827.00,1048.00,Bought at , 166.41
1130827.00,1049.00,Sold, NetProfit, 781.00
1130827.00,1050.00,Buy at , 165.74
1130827.00,1050.00,Bought at , 165.74
1130827.00,1052.00,Sold, NetProfit, 854.00
1130827.00,1059.00,Buy at , 167.99
1130827.00,1059.00,Bought at , 167.88
1130827.00,1100.00,Sold, NetProfit, 827.00
1130827.00,1107.00,Buy at , 168.36
1130827.00,1107.00,Bought at , 168.14
1130827.00,1107.00,Sold, NetProfit, 800.00
1130827.00,1112.00,Buy at , 167.42
1130827.00,1112.00,Bought at , 167.31
1130827.00,1113.00,Sold, NetProfit, 773.00
1130827.00,1138.00,Buy at , 167.08
1130827.00,1138.00,Bought at , 167.08
1130827.00,1150.00,Sold, NetProfit, 846.00
1130827.00,1213.00,Buy at , 165.87
1130827.00,1227.00,Buy at , 165.72
1130827.00,1242.00,Buy at , 166.82
1130827.00,1242.00,Bought at , 166.82
1130827.00,1242.00,Sold, NetProfit, 815.00
1130827.00,1259.00,Buy at , 166.95
1130827.00,1259.00,Bought at , 166.87
1130827.00,1303.00,Sold, NetProfit, 788.00
1130827.00,1315.00,Buy at , 166.79
1130827.00,1315.00,Bought at , 166.77
1130827.00,1319.00,Sold, NetProfit, 761.00
1130827.00,1323.00,Buy at , 166.29
1130827.00,1324.00,Bought at , 166.29
1130827.00,1326.00,Sold, NetProfit, 734.00
1130827.00,1344.00,Buy at , 167.15
1130827.00,1344.00,Bought at , 167.13
1130827.00,1349.00,Sold, NetProfit, 807.00
1130827.00,1358.00,Buy at , 167.21
1130827.00,1358.00,Bought at , 167.21
1130827.00,1359.00,Sold, NetProfit, 780.00
1130827.00,1401.00,Buy at , 166.82
1130827.00,1448.00,Buy at , 164.97
1130827.00,1448.00,Bought at , 164.95
1130827.00,1451.00,Sold, NetProfit, 771.00
1130827.00,1514.00,Buy at , 164.99
1130827.00,1514.00,Bought at , 164.95
1130827.00,1517.00,Sold, NetProfit, 744.00
1130827.00,1526.00,Buy at , 164.17
1130827.00,1526.00,Bought at , 164.15
1130827.00,1533.00,Sold, NetProfit, 717.00
1130828.00, 931.00,Buy at , 170.59
1130828.00, 936.00,Buy at , 169.61
1130828.00, 936.00,Bought at , 169.61
1130828.00, 936.00,Sold, NetProfit, 768.00
1130828.00, 940.00,Buy at , 170.27
1130828.00, 952.00,Buy at , 168.30
1130828.00, 952.00,Bought at , 168.30
1130828.00, 952.00,Sold, NetProfit, 759.00
1130828.00, 956.00,Buy at , 167.72
1130828.00, 956.00,Bought at , 167.71
1130828.00, 959.00,Sold, NetProfit, 732.00
1130828.00,1000.00,Buy at , 167.14
1130828.00,1000.00,Bought at , 167.14
